,,order_id,product_id,title,sku_id,sku_name,brand,kind,function,stock_num,天猫链接,天猫链接2,产品名称 ,SKU名称,天猫价格,new_url_1,price1,price2,new_url_2
0,,2560,59292898,Easyface艺霏传明酸巴布贴膜56片,116987572,56片/盒,Easyface艺霏,面膜,补水保湿,100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22228839995.44.628e79c7BnwYYA&id=606744628264,,Easyface艺霏传明酸巴布贴膜56片提靓肤色焕靓氨甲环酸脸颊面膜,56片/盒,398.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22228839995.44.628e79c7BnwYYA&id=606744628264&skuId=4430618975202,398.00,-1,
1,,9300,59359667,Easyface艺霏传明酸精华液,117184170,30ml,Easyface艺霏,精华,"补水保湿,美白提亮",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22228839995.44.444379c7IPMDYD&id=649768921950,,Easyface艺霏传明酸精华液面部烟酰胺氨甲环酸保湿补水断黑精华液,30ml,198.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22228839995.44.444379c7IPMDYD&id=649768921950&skuId=4859442415879,198.00,-1,
2,,4000,59292900,Easyface艺霏虾青素莹润修护精华液,117000609,30ml,Easyface艺霏,精华,"补水保湿,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22228839995.47.40df79c7zy7drP&id=606740156728,,Easyface艺霏虾青素莹润修护精华液面部肌肤屏障补水保湿肌底液,30ml,268.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22228839995.47.40df79c7zy7drP&id=606740156728&skuId=4438549425106,268.00,-1,
3,,2150,59292960,百植萃氨基酸舒润洁面乳,116998993,150g,百植萃,乳液,"控油,清爽清洁,平衡水油",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.40.6fe74aaeTRuW3S&id=602470595595,,百植萃控油补水保湿温和洁面乳男女清洁氨基酸洗面奶油皮学生适用,150g,148.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.40.6fe74aaeTRuW3S&id=602470595595&skuId=4212671000612,148.00,-1,
4,百植萃旗舰店未找到该产品,6590,59292965,百植萃玻色因塑颜紧致面部精华液,116985964,30ml,百植萃,精华,"补水保湿,紧致肌肤",100,,,,,,,-1,-1,
5,,6520,59292962,百植萃复合果酸精华水,117000881,200ml,百植萃,精华,补水保湿,100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.38.68db4aaeN5R8D5&id=613619288368,,百植萃复合果酸精华爽肤水控油调节痘肌水杨酸保湿补水湿敷化妆水,果酸精华水 补水保湿 调节痘肌200ml,178.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.38.68db4aaeN5R8D5&id=613619288368&skuId=4496064455875,178.00,-1,
6,,9710,59292920,百植萃舒缓清透防晒乳,117006154,40g,百植萃,隔离防晒,防晒,100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.38.5b994aaeBnjlZk&id=638596607382,,百植萃清透防紫外线SPF50物理氨基酸身体防晒霜乳面部清爽隔离霜,40g,148.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.38.5b994aaeBnjlZk&id=638596607382&skuId=4750921755750,148.00,-1,
7,,7850,59292905,百植萃舒缓修红亮颜面膜,116996744,50ml,百植萃,面膜,"补水保湿,舒缓",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.43.7bcb4aaeBizH0P&id=645400462713,,【新品】百植萃舒缓修红亮颜小绿瓶加强版修护敏感涂抹式补水面膜,50ml,238.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.43.7bcb4aaeBizH0P&id=645400462713&skuId=4919810542792,238.00,-1,
8,,7000,59292937,百植萃舒缓修护保湿喷雾,117004744,150ml,百植萃,喷雾,"补水保湿,舒缓",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.40.d29c4aaerTexGw&id=589726457718,,百植萃舒缓修护保湿喷雾神经酰胺补水定妆化妆湿敷护肤爽肤水清爽,150ml,158.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.40.d29c4aaerTexGw&id=589726457718&skuId=4033987392180,158.00,-1,
9,,7820,59292927,百植萃水嫩粉底液,116989714,自然色,百植萃,粉底液,美白提亮,100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.37.32134aaeBoNpU3&id=598724561255,,百植萃遮瑕养肤保湿不脱妆BB霜服帖奶油肌粉底液膏敏弱肌干皮适用,自然色30g,159.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.37.32134aaeBoNpU3&id=598724561255&skuId=4368316659998,159.00,-1,
10,,7820,59292927,百植萃水嫩粉底液,116993292,象牙白,百植萃,粉底液,美白提亮,100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.37.32134aaeBoNpU3&id=598724561255,,百植萃遮瑕养肤保湿不脱妆BB霜服帖奶油肌粉底液膏敏弱肌干皮适用,象牙白30g,159.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.37.32134aaeBoNpU3&id=598724561255&skuId=4524857271084,159.00,-1,
